"","Centaurea.nigra","Leucanthemum.vulgare","Cirsium.palustre","Ranunculus.acris","Cirsium.arvense","Filipendula.ulmaria","Galium.verum","Hypochoeris.radicata","Primula.veris","Lotus.corniculatus","Lathyrus.pratensis","Orchis.morio","Taraxacum.officinale","Trifolium.repens","Cerastium.fontanum","Trifolium.dubium"
"Bombus lapidarius",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Maniola jurtina",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"Bombus pascuorum",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Calocoris bipunctatus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Empis livida",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"Psithyrus vest",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Episyrphus balteatus",0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1
"Bombus pratorum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apis mellifera",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Bombus terrestris/lucorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eristalis tenax",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Helophilus sp1 M_PL_007",0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
"Syrphus sp1 M_PL_007",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
"Scathophaga stercoraria",0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
"Sphaerophoria sp1 M_PL_007",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"Anthophora plumipes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Cheilosia bergenstammi",0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
"Lucillia sp1 M_PL_007",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Melanostoma sp1 M_PL_007",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
"Platycheirus sp1 M_PL_007",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Eriothrix rufomaculatus",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Eristalis nemorum",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Meliscaeva sp1 M_PL_007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena chrysosceles",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Pollenia sp1 M_PL_007",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena pubescens",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Bombus hortorum",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Cephus pygmaeus",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Eristalis intricarius",1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
"Lasioglossum calceatum",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Lasioglossum villosulum",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Lycaena phlaeas ",0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1
"Panameria tenebrata",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Sarcophagus sp1 M_PL_007",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Tropidia scitta",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Volucella bombylans",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
