"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",399,70,12,9,3,5,7,6,4,5,4,3,0,0,1,0
"2",108,28,0,4,5,0,0,0,0,0,0,0,3,0,0,0
"3",34,10,3,0,0,0,0,0,0,0,0,0,0,0,0,1
"4",28,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"5",16,6,7,0,0,0,0,0,3,0,0,0,0,0,0,0
"6",17,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0
"7",16,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"8",13,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"9",12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",11,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"11",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",4,1,0,1,0,5,0,1,1,0,0,0,0,0,0,0
"13",10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"19",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"21",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"26",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
